StackOverflow,2015,33741950,0,"<p>the solution can be obtained by using the <strong>outputstream</strong> and using <strong>files.copy</strong> function</p> <pre><code> inputstream filecontent = img.getinputstream(); path img_destination=paths.get(""h://products_image//""+filename);//the output file path with the file name. as without file name it wont get created. files.copy(filecontent. img_destination);//inputstream to the path in which file needs to be copied </code></pre> ".
StackOverflow,2015,33740970,1,"<p>no. there is no such support available under open source licence.</p> ".
StackOverflow,2015,33742590,0,"<p>i can't imagine what <code>getactor1()</code> does. why would you have a fixed number in the function name?</p> <p>the approach i would take is to store it in a set that supports faster lookups. using either a <code>dictionary&lt;&gt;</code> or <code>set&lt;&gt;</code>. i would store the actors there and then the search should be significant faster. it has the added benefit where it can store any number of actors (since you never know how many actors a movie might have).</p> <p>but. again. it's hard to know why you did it this way so i don't know if that meets your requirements.</p> ".
StackOverflow,2015,33726710,2,"<p>i made the test and i can quite safely say that your file is not public.</p> <p>i have reproduced your issue before making my test sheet public. and i could not afterwards.</p> <p>tested with this :</p> <pre><code>$url = ""https://docs.google.com/spreadsheets/d/1ooc5aig3hh8mrgf4p7njxki8kqbsks2zjsbxtb4qpz8/export?format=csv"" invoke-webrequest $url -outfile ""c:\test.csv"" </code></pre> ".
StackOverflow,2015,33742480,2,"<p>the problem is in how you define the file to search for.</p> <p>you set <code>fstr = dir(folder)</code> then you say <code>while (file &lt;&gt; """")</code> since <code>file</code> is not set initially. the <code>while loop</code> will exit right away (because <code>file</code> does not ever get set until the first loop - which never happens).</p> <p>change all references of <code>fstr</code> to <code>file</code> and it will work.</p> <pre><code>sub sumwb() dim arr(2) as long. mywb as workbook. fstr as string const folder = ""c:\users\satsobek\downloads\new folder\"" file = dir(folder) while (file &lt;&gt; """") if file &lt;&gt; ""consol.xlsx"" then set mywb = workbooks.open(folder &amp; file. . true) arr(0) = arr(0) + mywb.sheets(2).range(""a2"").value arr(1) = arr(1) + mywb.sheets(2).range(""b2"").value arr(2) = arr(2) + mywb.sheets(2).range(""c2"").value mywb.close end if file = dir wend debug.print arr(0) &amp; "" - "" &amp; arr(1) &amp; "" - "" &amp; arr(2) end sub </code></pre> ".
StackOverflow,2015,33742090,2,"<p>you could use a clever combination of array_unique. array_reduce and array_merge to achieve this:</p> <pre><code>$a = array_unique(array_reduce($attendee_programs. 'array_merge'. [])); </code></pre> <p>doing this might be end in an array with some gaps in the indizes - if you need gaples array keys. you have to add array_values at the end</p> <pre><code>$a = array_values($a); </code></pre> ".
StackOverflow,2015,33742490,0,"<p>do you have access to the database it is pointing to? if you do. you can reset the password this way.</p> <pre><code>update umbracouser set userdisabled=0. userlogin='admin'. userpassword='rboj46j1nsyvbz5c7ui/5+m+pcc=' where id=0 </code></pre> <p>or</p> <pre><code>update umbracouser set userdisabled=0. userlogin='admin'. userpassword='default' where id=0 </code></pre> <p>where the user is <code>admin</code> and the password is updated to <code>default</code>.</p> ".
StackOverflow,2015,33741900,1,"<p>i'm going to venture an answer on this. because i am fairly certain i know the source of the problem.</p> <p>the poster indicated that inline sql (parameterized) was being used. this would also be applicable to a stored procedure. the poster also indicated that there is no parameter in his/her sql named 'type.' this indicates that the problem is nested within the sql statement and the error is produced when attempting to call an internal or user-defined sql function. example:</p> <pre><code>update employee set editedon = cast(@somedate as datetime) </code></pre> <p>if @somedate can't be cast as a valid date time. then the cast function itself can error. here are some observations intended to help solve the problem:</p> <ul> <li>use stored procedures if you aren't using some kind of orm. it takes only minimal time to learn how to use one. and that tiny upfront investment is paid back about 1. 000 times because...</li> <li>as you see. inline sql makes things more difficult to debug. the first thing i would recommend when encountering any type of sql error for which the solution isn't readily apparent. is to execute the stored procedure manually through sql management studio. bypassing c#. this will tell you right away whether the problem is your c# code or your t-sql.</li> <li>use the correct data types whenever possible. don't store dates as nvarchar. or accept a sql parameter as an nvarchar when it is supposed to be a datetime. not only does this make code inherently unsafe and prone to bugs. but. as you start working on larger and larger datasets. performing functions against sql data can be the difference between an index seek and a table scan. and thus (in a severe case). a stored procedure that executes in milliseconds instead of hours. if a field is supposed to store a datetime. then make it a datetime. cast and convert should be used very sparingly in databases whose schema you own.</li> <li>finally. you can (and should) use sql profiler to begin a trace against your database. then you can see the exact query that is being executed. you can copy/paste the query directly from profiler into sql server management studio. play with it until you get it to work. and then fix your c# code.</li> </ul> ".
StackOverflow,2015,33742300,0,<p>why use random number? <br/> auto_increment should be the solution <br/> id mediumint not null auto_increment<br/></p> .
StackOverflow,2015,33742140,2,<p>is <code>move</code> built into <code>cmd</code>? you might try:</p> <pre><code>exec {*}[auto_execok cmd] /c move src dest </code></pre> <p>i don't have a windows box to test with right now.</p> .
